,Epoch,Iteration,Train Loss,Train Acc
0,0,0,1510.46923828125,28.125
1,0,100,401.7376881212291,26.39232673267327
2,0,200,333.14064056244655,28.684701492537314
3,0,300,276.3882949296818,33.596345514950166
4,0,400,235.2658684604483,39.37032418952619
5,0,500,204.44195522757585,44.44236526946108
6,0,600,181.40890683826314,49.02246256239601
7,0,700,165.59885404589514,52.58559201141227
8,0,800,151.9177540033944,55.723314606741575
9,0,900,140.01136640207088,58.44894561598224
10,0,1000,130.5600966557518,60.64248251748252
11,0,1100,123.66844690360338,62.326861943687554
12,0,1200,117.80704285654795,63.84523313905079
13,0,1300,112.11099206608966,65.19744427363567
14,0,1400,107.30283479304511,66.46368665239115
15,0,1500,103.12849087345296,67.39673550966023
16,0,1600,99.3332089373375,68.29910993129295
17,0,1700,95.91954169247838,69.1358024691358
18,0,1800,92.39490449231431,69.97848417545808
19,0,1900,89.33181669456953,70.68154918463966
20,0,2000,86.90763460149556,71.20346076961519
21,0,2100,84.38757031829168,71.83037839124226
22,0,2200,82.18911906081074,72.33217855520218
23,0,2300,80.13206119735773,72.80122772707519
24,0,2400,78.11221474924962,73.27675968346523
25,0,2500,76.24719937108885,73.70676729308276
26,0,2600,74.59692424855756,74.11332179930795
27,0,2700,72.84225524896111,74.49787115883007
28,0,2800,71.20284369057852,74.86835058907533
29,0,2900,69.86357866085427,75.15296449500173
30,0,3000,68.63637136772569,75.41652782405865
31,0,3100,67.48388669725198,75.68324733956788
32,0,3200,66.43106152631591,75.9625898156826
33,0,3300,65.19889547879382,76.2458345955771
34,0,3400,64.21032963256482,76.42053807703617
35,0,3500,63.260914834670615,76.61650242787775
36,0,3600,62.278353709533576,76.8067897806165
37,0,3700,61.157506646056,77.05772088624695
38,1,0,12.953643798828125,96.875
39,1,100,20.036795730453612,87.56188118811882
40,1,200,19.685296013158453,87.79539800995025
41,1,300,20.582263335551204,87.46885382059801
42,1,400,20.10095192467131,87.43765586034912
43,1,500,20.839606646243666,87.29416167664671
44,1,600,20.540558397198996,87.46880199667221
45,1,700,20.733310635797583,87.36626248216834
46,1,800,20.898926748732034,87.42197253433208
47,1,900,21.01273979157264,87.3716703662597
48,1,1000,20.73378831960898,87.31893106893106
49,1,1100,20.91694245727647,87.17075386012716
50,1,1200,20.889808104136666,87.17995420482931
51,1,1300,21.060287635649985,87.07724827056111
52,1,1400,21.2173097427083,86.99589578872234
53,1,1500,20.990868918072948,86.97951365756163
54,1,1600,20.964448087994686,86.93199562773266
55,1,1700,21.038211506503924,86.88271604938272
56,1,1800,20.867039544883244,86.91004997223764
57,1,1900,20.5823356350761,86.9657417148869
58,1,2000,20.49813204452565,86.92997251374312
59,1,2100,20.308600840136034,86.98238933841029
60,1,2200,20.10891429096811,87.0485006815084
61,1,2300,19.989745917622663,87.03824424163408
62,1,2400,19.870696956398746,87.06398375676801
63,1,2500,19.822024996931162,87.03143742502999
64,1,2600,19.608287294270916,87.09871203383314
65,1,2700,19.47934803414855,87.09505738615327
66,1,2800,19.406552887039226,87.08720099964299
67,1,2900,19.281642114059782,87.0594191658049
68,1,3000,19.13695454121675,87.08243085638121
69,1,3100,19.07309565686063,87.06163334408255
70,1,3200,18.97398404288618,87.07630427991253
71,1,3300,18.87702299054001,87.0825128748864
72,1,3400,18.767289832874045,87.09111290796824
73,1,3500,18.65152209336178,87.08226221079691
74,1,3600,18.522223386672476,87.09820188836434
75,1,3700,18.424454103946925,87.09048230208052
76,2,0,19.381704330444336,87.5
77,2,100,10.781285953108627,89.85148514851485
78,2,200,10.54883737639917,90.00310945273633
79,2,300,10.38620866131043,89.91901993355482
80,2,400,10.26232066530819,90.00155860349128
81,2,500,10.47843554305767,89.75798403193613
82,2,600,10.51614210948918,89.72545757071548
83,2,700,10.421297266598094,89.59076319543509
84,2,800,10.398735037254593,89.520911360799
85,2,900,10.219610402259894,89.55327413984462
86,2,1000,10.060072158111355,89.58853646353646
87,2,1100,9.896299541472874,89.6088782924614
88,2,1200,9.847732083606044,89.56338467943381
89,2,1300,9.888482481610732,89.51287471176019
90,2,1400,9.929873169860466,89.4941113490364
91,2,1500,9.918772619692906,89.44245502998001
92,2,1600,9.820105139430206,89.487039350406
93,2,1700,9.697198615438444,89.48596413874192
94,2,1800,9.669535083118326,89.46592171016103
95,2,1900,9.722403419325268,89.3805891635981
96,2,2000,9.76715363341327,89.35532233883059
97,2,2100,9.687151557459421,89.3309733460257
98,2,2200,9.595384356516098,89.35001135847342
99,2,2300,9.5975580511796,89.32529335071708
100,2,2400,9.540131412737574,89.32606205747605
101,2,2500,9.475211324395302,89.33301679328268
102,2,2600,9.505058375296574,89.26975201845444
103,2,2700,9.4645465101891,89.24819511292114
104,2,2800,9.397374593566846,89.24268118529096
105,2,2900,9.394594002639169,89.18476387452603
106,2,3000,9.361164857769886,89.18902032655781
107,2,3100,9.326056730764966,89.15873911641405
108,2,3200,9.287890529621361,89.12156357388317
109,2,3300,9.231699334770651,89.11409421387458
110,2,3400,9.173850869497642,89.11073948838578
111,2,3500,9.049522513536708,89.13703227649243
112,2,3600,9.006868609709171,89.10892807553458
113,2,3700,8.96741596053302,89.11865036476628
114,3,0,2.7364959716796875,93.75
115,3,100,5.412747991821805,91.33663366336634
116,3,200,5.2258000853758695,91.2157960199005
117,3,300,5.125794094061148,91.05066445182725
118,3,400,5.129244980543258,90.88216957605985
119,3,500,5.164892321120055,90.94935129740519
120,3,600,5.033685131990155,90.90578202995009
121,3,700,4.913448241336871,90.88801711840229
122,3,800,4.853762357846321,90.82787141073658
123,3,900,4.76211734821912,90.8365704772475
124,3,1000,4.747527204844991,90.61563436563436
125,3,1100,4.722559790076561,90.49159854677566
126,3,1200,4.639983941751217,90.49229808492923
127,3,1300,4.597379094028451,90.53132205995388
128,3,1400,4.552121878839872,90.50231977159171
129,3,1500,4.556105785890426,90.47926382411725
130,3,1600,4.540463045533327,90.45518425983761
131,3,1700,4.69043649517791,90.34391534391534
132,3,1800,4.654630871662137,90.3317601332593
133,3,1900,4.593176907477675,90.27649921094161
134,3,2000,4.523856503155975,90.20489755122439
135,3,2100,4.3742240031947945,89.91254164683484
136,3,2200,4.535845525679207,89.77879373012267
137,3,2300,4.50796173019504,89.72186006084311
138,3,2400,4.591843235529191,89.57205331112037
139,3,2500,4.790494154060273,89.48670531787285
140,3,2600,4.800864280019913,89.4103229527105
141,3,2700,4.852254360012155,89.33612550907071
142,3,2800,4.910367321240251,89.32858800428419
143,3,2900,5.064395631629735,89.25370561875215
144,3,3000,5.08434221552855,89.15778073975342
145,3,3100,5.256983373662584,89.08416639793614
146,3,3200,5.242751506133709,89.066893158388
147,3,3300,5.239498543320974,89.03930627082703
148,3,3400,5.1337793838169254,89.00323434284034
149,3,3500,5.215298786936166,88.96476006855184
150,3,3600,5.189151594895473,88.97528464315468
151,3,3700,5.196619637958485,88.95822075114833
152,4,0,1.0036386251449585,90.625
153,4,100,3.4040219230522024,88.76856435643565
154,4,200,3.874409756451391,90.04975124378109
155,4,300,3.2755875417187448,90.37583056478405
156,4,400,3.782275645631034,90.43796758104739
157,4,500,3.738052191600579,90.35054890219561
158,4,600,4.152467241041009,90.28702163061564
159,4,700,4.027410025365599,90.21932952924394
160,4,800,4.357487871053677,90.25046816479401
161,4,900,4.226920262882785,90.23654273029966
162,4,1000,4.169781807046039,90.31281218781218
163,4,1100,4.0194978589986095,90.33265213442326
164,4,1200,3.9348834824273546,90.12801831806827
165,4,1300,4.017542080412871,89.93562644119908
166,4,1400,3.949467383373178,89.82200214132763
167,4,1500,4.015218212491096,89.82969686875417
168,4,1600,3.8760217076623245,89.73297938788258
169,4,1700,3.846082431490647,89.64028512639624
170,4,1800,3.7684245295918553,89.49368406440867
171,4,1900,3.735509927149178,89.34442398737507
172,4,2000,3.6148040585738124,89.20071214392803
173,4,2100,3.607463840683586,89.11084007615422
174,4,2200,3.521199512044739,89.12710131758291
175,4,2300,3.457568135885814,88.9844089526293
176,4,2400,3.493479540867356,88.81455643481883
177,4,2500,3.4106615618229332,88.71826269492203
178,4,2600,3.4208898459194694,88.57170319108036
179,4,2700,3.347035758608507,88.55285079600148
180,4,2800,3.259436831367876,88.42600856836845
181,4,2900,3.187747700893205,87.97397449155464
182,4,3000,3.121116125312709,87.15948850383205
183,4,3100,3.0472618310982127,86.62024346984843
184,4,3200,2.9796971571201274,86.20938769134645
185,4,3300,2.911759183424861,86.01181460163586
186,4,3400,2.8516249963114277,85.74592031755365
187,4,3500,2.795029416999702,85.48093401885176
188,4,3600,2.7392972669348623,85.09094695917801
189,4,3700,2.683176033374114,84.94832477708728
190,5,0,3.384807825088501,93.75
191,5,100,0.6307621710371263,78.34158415841584
192,5,200,0.6275956229635732,79.43097014925372
193,5,300,0.6197969712985314,78.69601328903654
194,5,400,0.6424006692266226,79.52774314214464
195,5,500,0.6557161605465198,79.90269461077844
196,5,600,0.6604502523649552,79.51331114808653
197,5,700,0.685645512630698,79.50695435092724
198,5,800,0.723828934198164,77.84019975031211
199,5,900,0.7220772278725638,78.05563263041066
200,5,1000,0.7363788817193244,77.70354645354645
201,5,1100,0.7446331861991432,76.94141689373296
202,5,1200,0.7553983797737204,76.03299333888427
203,5,1300,0.7720973490981484,75.8479054573405
204,5,1400,0.7765844558856897,75.59778729478944
205,5,1500,0.7688096665506121,75.67663224516988
206,5,1600,0.7746596378620382,75.42356339787632
207,5,1700,0.7856805431078911,74.50213109935332
208,5,1800,0.7828003329445692,74.22959466962799
209,5,1900,0.7821893579611209,73.86572856391373
210,5,2000,0.7911020760116787,73.40860819590205
211,5,2100,0.7943720525500322,73.23447168015231
212,5,2200,0.7971540262405572,73.18264425261245
213,5,2300,0.8011038317622334,72.96420034767492
214,5,2400,0.7974051078102679,72.87328196584757
215,5,2500,0.7951101094770318,72.7546481407437
216,5,2600,0.7989659142501077,72.59707804690504
217,5,2700,0.7981424365483668,72.26490188818956
218,5,2800,0.7994409539590176,72.17065333809354
219,5,2900,0.8004326380940808,72.01826956221993
220,5,3000,0.8062246378035753,71.88437187604131
221,5,3100,0.8047510831971508,72.02011447920026
222,5,3200,0.809364531406832,71.83790221805685
223,5,3300,0.8151716989202956,71.65442290215087
224,5,3400,0.8228289715833995,71.26396648044692
225,5,3500,0.8278016479730061,71.17609254498714
226,5,3600,0.8299411146161093,71.06532907525687
227,5,3700,0.8316736780036562,70.9157997838422
228,6,0,3.0748703479766846,81.25
229,6,100,0.9194820505557674,67.75990099009901
230,6,200,0.8891650318209805,67.41293532338308
231,6,300,0.9528144570284112,61.64867109634552
232,6,400,0.9255452338894109,64.23784289276809
233,6,500,0.9093366636487539,64.51472055888223
234,6,600,0.9293141711174747,63.909109816971714
235,6,700,0.9081821859563128,64.79582738944366
236,6,800,0.907431399740381,65.48064918851436
237,6,900,0.9157110357721161,65.02497225305217
238,6,1000,0.9349019949907785,64.42619880119881
239,6,1100,0.9346852099538174,64.3732970027248
240,6,1200,0.9437981630542892,63.564217318900916
241,6,1300,0.9581016485366703,62.552843966179864
242,6,1400,0.9525407142378789,62.96395431834404
243,6,1500,0.9512592042231067,62.96635576282478
244,6,1600,0.9593227429921592,63.021158650843226
245,6,1700,0.9705663328132932,62.74801587301587
246,6,1800,0.9778258252944766,62.45141588006663
247,6,1900,0.9882171677483313,61.98382430299842
248,6,2000,0.9903353991686017,61.56609195402299
249,6,2100,0.9992742814063345,61.08698238933841
250,6,2200,0.999929368184513,60.806167651067696
251,6,2300,0.9987688269344738,60.90694263363755
252,6,2400,1.0100099266022258,60.054404414827154
253,6,2500,1.018461298616063,59.31502399040384
254,6,2600,1.027050238636905,58.556805074971166
255,6,2700,1.0332698589318419,58.0583580155498
256,6,2800,1.0392899028172198,57.77512495537308
257,6,2900,1.0441945746350971,57.2507325060324
258,6,3000,1.050432640735168,56.647784071976005
259,6,3100,1.0581563898091622,55.94969364721058
260,6,3200,1.0587369754086506,55.83899562636676
261,6,3300,1.062706848656687,55.47088003635262
262,6,3400,1.059390667307836,55.59026756836224
263,6,3500,1.0590816441858473,55.70462010854042
264,6,3600,1.064165890796156,55.511489863926684
265,6,3700,1.0685489162081998,55.50864631180762
266,7,0,1.1625882387161255,34.375
267,7,100,1.0164167107922015,54.79579207920792
268,7,200,1.1577770096152575,47.74564676616915
269,7,300,1.13940186318369,47.70556478405316
270,7,400,1.1580970001190976,49.859725685785534
271,7,500,1.2139229000566487,45.12225548902195
272,7,600,1.2476338903340642,42.0705074875208
273,7,700,1.2819018246188825,40.06330242510699
274,7,800,1.281835587172026,40.01248439450686
275,7,900,1.2800822712141984,40.31631520532741
276,7,1000,1.2914963303567408,38.9985014985015
