,Epoch,Iteration,Train Loss,Train Acc
0,0,0,36052.921875,21.875
1,0,100,10953.624028271968,35.51980198019802
2,0,200,8894.61814219916,39.95646766169154
3,0,300,7830.511819326204,43.604651162790695
4,0,400,7068.895613444416,46.282730673316706
5,0,500,6444.420969340616,48.94585828343313
6,0,600,5898.679243700278,51.331114808652245
7,0,700,5511.447959127167,53.044757489301
8,0,800,5170.47427958704,54.65433832709114
9,0,900,4885.938600868284,56.01761931187569
10,0,1000,4629.348988840749,57.34577922077922
11,0,1100,4411.0924585604,58.48376475930972
12,0,1200,4217.951439697876,59.42964196502914
13,0,1300,4049.640223439339,60.338201383551116
14,0,1400,3880.910427139794,61.26427551748751
15,0,1500,3735.504551958037,62.039890073284475
16,0,1600,3601.8243852337773,62.767410993129296
17,0,1700,3491.383644628777,63.420414462081126
18,0,1800,3375.5857924101815,64.02345918933925
19,0,1900,3280.0012327191203,64.5449763282483
20,0,2000,3190.5017652764195,65.00499750124938
21,0,2100,3099.1244541115557,65.5402189433603
22,0,2200,3012.989324886005,66.05378237164925
23,0,2300,2934.2373670522466,66.5009778357236
24,0,2400,2858.415804159537,66.96428571428571
25,0,2500,2788.8438147415595,67.38804478208716
26,0,2600,2725.347066674678,67.77441368704345
27,0,2700,2663.7662918757437,68.11134764901888
28,0,2800,2607.1118158369736,68.44876829703678
29,0,2900,2553.563529437018,68.73922785246467
30,0,3000,2501.291889237706,69.01657780739754
31,0,3100,2449.4816800695357,69.34960496613995
32,0,3200,2401.6752206313167,69.67744454857856
33,0,3300,2359.507021074546,69.93619357770373
34,0,3400,2315.982666859098,70.18799617759483
35,0,3500,2277.3681611881293,70.41648814624394
36,0,3600,2237.9589059687232,70.68088725354069
37,0,3700,2202.4814973865705,70.86935963253175
38,1,0,527.7889404296875,84.375
39,1,100,954.1212856179417,78.00123762376238
40,1,200,885.3924281941124,79.53980099502488
41,1,300,843.5238436828816,79.91071428571429
42,1,400,829.6678598646511,79.76153366583542
43,1,500,814.8996580812983,79.87774451097805
44,1,600,810.8061287319799,79.88768718801997
45,1,700,794.6831099799969,80.09985734664765
46,1,800,782.2665830700288,80.1498127340824
47,1,900,768.3689078522575,80.23723640399557
48,1,1000,767.9040336837539,80.2229020979021
49,1,1100,760.9749940149791,80.23955495004542
50,1,1200,747.7988026227482,80.39134054954205
51,1,1300,741.7955042745955,80.29880860876249
52,1,1400,733.6353195566181,80.38231620271235
53,1,1500,727.8025938157317,80.32978014656895
