,Epoch,Iteration,Train Loss,Train Acc
0,0,0,790.5084228515625,3.125
1,0,100,794.2427816107721,31.899752475247524
2,0,200,483.2324687141684,28.638059701492537
3,0,300,364.5698378299954,28.644102990033222
4,0,400,302.05916781913015,28.499064837905237
5,0,500,262.12676792563553,28.493013972055888
6,0,600,234.1790855712383,28.29138935108153
7,0,700,211.328517211827,28.19632667617689
8,0,800,193.32998542452276,28.222534332084894
9,0,900,178.5054597420645,28.014012208657046
10,0,1000,165.46016100522402,28.131243756243755
11,0,1100,154.27558554528952,28.24704813805631
12,0,1200,144.72312661868943,28.192651956702747
13,0,1300,136.26960036023408,28.19225595695619
14,0,1400,128.72314623846998,28.129461099214847
15,0,1500,121.83230731870079,28.114590273151233
16,0,1600,115.65968787320178,28.111336664584634
17,0,1700,110.07484196803627,28.07172251616696
18,0,1800,104.90484177569824,28.211757357023874
19,0,1900,100.1867037085343,28.171028406102053
20,0,2000,95.81753612434429,28.160919540229884
21,0,2100,91.73865696204838,28.235066634935745
22,0,2200,87.9475139906492,28.315254429804636
23,0,2300,84.42467613129034,28.39118861364624
24,0,2400,81.13791627727018,28.446480633069555
25,0,2500,78.0758887540336,28.46611355457817
26,0,2600,75.20875499863571,28.585159554017686
27,0,2700,72.52223087915091,28.58547760088856
28,0,2800,70.00792710677253,28.527757943591574
29,0,2900,67.66152822239899,28.498793519476042
30,0,3000,65.46571805190341,28.470718093968678
31,0,3100,63.40880768493621,28.52305707836182
32,0,3200,61.48295989631676,28.40909090909091
33,0,3300,59.66860599006461,28.43267191760073
34,0,3400,57.961963315915796,28.363900323434283
35,0,3500,56.35243885471493,28.303520422736362
36,0,3600,54.83019434677432,28.30463760066648
37,0,3700,53.39118828070676,28.26938665225615
38,1,0,1.7175737619400024,9.375
39,1,100,1.8472458041540467,27.784653465346533
40,1,200,1.697308422914192,28.171641791044777
41,1,300,1.6447904403027507,28.2703488372093
42,1,400,1.6110308610293038,28.2964463840399
43,1,500,1.5763102821009363,29.278942115768462
44,1,600,1.5644668250433023,29.13373544093178
45,1,700,1.5598553897820935,28.94971469329529
46,1,800,1.5456302227747722,28.983302122347066
47,1,900,1.5380344165284414,29.030244173140954
48,1,1000,1.5300779124120851,28.992882117882118
49,1,1100,1.5193022277872743,29.314259763851044
50,1,1200,1.5139603285765668,29.36615320566195
51,1,1300,1.5064023207646897,29.623847040737893
52,1,1400,1.5020684285899046,29.550321199143468
53,1,1500,1.4975694375463837,29.619836775483012
54,1,1600,1.4932330165111891,29.614303560274827
55,1,1700,1.4908263718009627,29.572677836566726
56,1,1800,1.4856235620579674,29.782065519156024
57,1,1900,1.483488499020853,29.747501315097317
58,1,2000,1.4809563246624045,29.79135432283858
59,1,2100,1.4786499726494287,29.710554497858162
60,1,2200,1.4761921681094743,29.818832348932304
61,1,2300,1.4726817878056278,29.973381138635375
62,1,2400,1.4690088096979705,30.086422324031652
63,1,2500,1.4661634083940047,30.292882846861257
64,1,2600,1.4650736442784629,30.431805074971166
65,1,2700,1.461847208740975,30.54077193631988
66,1,2800,1.459151453235157,30.60290967511603
67,1,2900,1.4580862941371289,30.694157187176835
68,1,3000,1.4551919137128628,30.769951682772408
69,1,3100,1.4514887960004792,31.06155272492744
70,1,3200,1.4480131317752856,31.236332396126212
71,1,3300,1.440635347945948,31.681687367464406
72,1,3400,1.4331776791111717,32.084313437224345
73,1,3500,1.4253272448512901,32.521065409882894
74,1,3600,1.4141520030281338,33.08629547347959
75,1,3700,1.4030984366738903,33.58973925965955
76,2,0,1.312494158744812,15.625
77,2,100,1.7825166898235532,38.335396039603964
78,2,200,1.439646609507464,44.58955223880597
79,2,300,1.2807150171060995,48.70224252491694
80,2,400,1.1833333853780852,51.5430174563591
81,2,500,1.1192136595951405,54.06062874251497
